,Country Pairing,Tension Score
607,N. Korea-Bahrain,82.985
608,N. Korea-Maldives,94.895
609,S. Korea-Azerbaijan,0.35
610,S. Korea-United Arab Emirates,5.105
611,S. Korea-Sri Lanka,94.425
612,S. Korea-Israel,5.575
613,S. Korea-Uzbekistan,0.295
614,S. Korea-Laos,1.695
615,S. Korea-Cambodia,0.675
616,S. Korea-Tajikistan,1.74
617,S. Korea-Jordan,0.335
618,S. Korea-Georgia,3.245
619,S. Korea-Bhutan,1.86
620,S. Korea-Armenia,94.54
621,S. Korea-Kuwait,4.5
622,S. Korea-Qatar,0.77
623,S. Korea-Lebanon,0.425
624,S. Korea-Singapore,95.215
625,S. Korea-Bahrain,99.03
626,S. Korea-Maldives,88.915
627,Azerbaijan-United Arab Emirates,0.345
628,Azerbaijan-Sri Lanka,0.645
629,Azerbaijan-Israel,1.55
630,Azerbaijan-Uzbekistan,9.03
631,Azerbaijan-Laos,60.72
632,Azerbaijan-Cambodia,0.69
633,Azerbaijan-Tajikistan,4.555
634,Azerbaijan-Jordan,0.435
635,Azerbaijan-Georgia,4.26
636,Azerbaijan-Bhutan,0.815
637,Azerbaijan-Armenia,98.29
638,Azerbaijan-Kuwait,1.03
639,Azerbaijan-Qatar,2.79
640,Azerbaijan-Lebanon,27.98
641,Azerbaijan-Singapore,0.335
642,Azerbaijan-Bahrain,0.79
643,Azerbaijan-Maldives,0.37
644,United Arab Emirates-Sri Lanka,2.7
645,United Arab Emirates-Israel,0.81
646,United Arab Emirates-Uzbekistan,0.185
647,United Arab Emirates-Laos,1.055
648,United Arab Emirates-Cambodia,1.44
649,United Arab Emirates-Tajikistan,1.31
650,United Arab Emirates-Jordan,0.15
651,United Arab Emirates-Georgia,0.995
652,United Arab Emirates-Bhutan,0.185
653,United Arab Emirates-Armenia,1.285
654,United Arab Emirates-Kuwait,96.37
655,United Arab Emirates-Qatar,63.02
656,United Arab Emirates-Lebanon,6.555
657,United Arab Emirates-Singapore,0.105
658,United Arab Emirates-Bahrain,20.86
659,United Arab Emirates-Maldives,98.545
660,Sri Lanka-Israel,0.615
661,Sri Lanka-Uzbekistan,1.76
662,Sri Lanka-Laos,2.175
663,Sri Lanka-Cambodia,2.325
664,Sri Lanka-Tajikistan,7.79
665,Sri Lanka-Jordan,2.415
666,Sri Lanka-Georgia,40.75
667,Sri Lanka-Bhutan,19.705
668,Sri Lanka-Armenia,1.675
669,Sri Lanka-Kuwait,0.805
670,Sri Lanka-Qatar,1.455
671,Sri Lanka-Lebanon,17.865
